语例ID,主语(目标域),谓语(源域),谓语中心词,主语中心词,源域,源域名称,目标域,目标域名称,映射方向,映射方向标签,CFMC源域频次,C_entrench,BCC词频,L_entrench,余弦相似度,Sem_dist,修饰成分,Con_cue,D_reg客观基线,D_trans客观基线,CA客观基线,CA基线等级
xb_01072,工人阶级,先进社会生产力的代表,代表,阶级,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01073,社会主义,基本制度,制度,社会主义,OB,物体,SC,社会,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01074,中老两国,友好邻邦,邻邦,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01075,书籍,伟大心灵的宝贵血脉,血脉,书籍,BD,建筑,MR,机器,1,具体→具体,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_01076,中老两国,友好近邻,近邻,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01077,本法所称合同,平等主体的自然人,自然人,合同,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01078,本法所称合同,平等主体的自然人,自然人,合同,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01079,中泰两国,友好近邻,近邻,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01080,邓小平理论,科学决策的指南,指南,理论,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01081,中国人民,勤劳智慧的人民,人民,人民,HM,人体,LF,光线,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01082,中国,世界上一个重要的国家,国家,中国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01083,对冲基金,有钱人涉足的领地,领地,基金,EC,经济,ST,结构,2,具体→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01084,无神论,科学精神的一个翅膀,翅膀,无神论,BD,建筑,CM,通讯,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_01085,工人阶级,先进生产力和生产关系的代表,代表,阶级,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01086,中国文化,神奇宝库,宝库,文化,OB,物体,MR,机器,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01087,恶意宣扬或者泄漏者,侵权,侵权,宣扬,OB,物体,ST,结构,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01088,老字号的服务员,传统文化和现代消费者之间沟通的桥梁,桥梁,服务员,OB,物体,EV,事件,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01089,软件的机床,机床工业先进技术的标志,标志,机床,MC,医疗,SC,社会,4,抽象→具体,32,0.4936,,,,,,,0.1974,,0.1086,1
xb_01090,芭蕾,高雅艺术领域中的一顶美丽的王冠,王冠,芭蕾,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01091,中乌,友好近邻,近邻,中乌,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01092,乌中两国,友好近邻,近邻,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
